iter	Passed	Remaining
0	56	5632
1	112	5494
2	168	5433
3	221	5312
4	276	5246
5	332	5207
6	385	5116
7	442	5090
8	499	5048
9	556	5006
10	613	4962
11	670	4915
12	727	4868
13	800	4917
14	872	4941
15	940	4937
16	1006	4912
17	1073	4888
18	1132	4828
19	1192	4771
20	1257	4729
21	1314	4661
22	1372	4594
23	1430	4531
24	1489	4469
25	1542	4389
26	1602	4331
27	1665	4283
28	1718	4208
29	1774	4139
30	1830	4075
31	1890	4016
32	1948	3955
33	2002	3886
34	2054	3815
35	2110	3752
36	2166	3688
37	2221	3624
38	2278	3563
39	2331	3497
40	2385	3433
41	2441	3371
42	2496	3308
43	2619	3334
44	2684	3280
45	2739	3215
46	2796	3153
47	2853	3091
48	2910	3029
49	2959	2959
50	3006	2888
51	3054	2819
52	3105	2754
53	3157	2689
54	3207	2624
55	3257	2559
56	3306	2494
57	3359	2432
58	3413	2372
59	3463	2309
60	3519	2250
61	3575	2191
62	3626	2130
63	3676	2068
64	3731	2009
65	3786	1950
66	3839	1891
67	3899	1834
68	3958	1778
69	4009	1718
70	4058	1657
71	4113	1599
72	4173	1543
73	4229	1486
74	4283	1427
75	4335	1369
76	4383	1309
77	4440	1252
78	4492	1194
79	4544	1136
80	4598	1078
81	4648	1020
82	4702	963
83	4749	904
84	4803	847
85	4860	791
86	4914	734
87	4970	677
88	5021	620
89	5074	563
90	5129	507
91	5185	450
92	5242	394
93	5293	337
94	5342	281
95	5396	224
96	5451	168
97	5502	112
98	5549	56
99	5608	0
